Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C?,1uF,,1, ,~
2,RGB LED with integrated controller,WS2812B,D?,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1, ,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf
3,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J?,Conn_01x03,,1, ,~





Project info:
Schematic:,design
Variant:,default
Revision:,<<hash>>
Date:,<<date>>
KiCad Version:,5.1.9+dfsg1-1~bpo10+1
Statistics:
Component Groups:,3
Component Count:,3
Fitted Components:,3
Number of PCBs:,1
Total Components:,3
